Energy_Source,Municipality,Month,Day_Type,Hour,Value
Solar_C1_Total,Agliè,Aug,Weekday,11,27482.583260157
Solar_C1_Total,Agliè,Aug,Weekday,12,29273.082088495998
Solar_C1_Total,Agliè,Aug,Weekday,13,28468.225650444
Solar_C1_Total,Agliè,Aug,Weekday,14,25464.817989167
Solar_C1_Total,Agliè,Aug,Weekday,15,23757.986636581005
Solar_C1_Total,Agliè,Aug,Weekday,16,18661.440665212
Solar_C1_Total,Agliè,Aug,Weekday,17,13302.370930124
Solar_C1_Total,Agliè,Aug,Weekday,18,8434.985023367
Solar_C1_Total,Agliè,Aug,Weekday,19,2379.0359946480007
Solar_C1_Total,Agliè,Aug,Weekday,20,0
Solar_C1_Total,Agliè,Aug,Weekday,21,0
Solar_C1_Total,Agliè,Aug,Weekday,22,0
Solar_C1_Total,Agliè,Aug,Weekday,23,0
Solar_C1_Total,Agliè,Aug,Weekday,24,0
Solar_C1_Total,Agliè,Aug,Weekend,1,0
Solar_C1_Total,Agliè,Aug,Weekend,2,0
Solar_C1_Total,Agliè,Aug,Weekend,3,0
Solar_C1_Total,Agliè,Aug,Weekend,4,0
Solar_C1_Total,Agliè,Aug,Weekend,5,0
Solar_C1_Total,Agliè,Aug,Weekend,6,3370.513481264
Solar_C1_Total,Agliè,Aug,Weekend,7,8541.657100931
Solar_C1_Total,Agliè,Aug,Weekend,8,12300.141578849998
Solar_C1_Total,Agliè,Aug,Weekend,9,18486.249516912
Solar_C1_Total,Agliè,Aug,Weekend,10,23854.287403591
Solar_C1_Total,Agliè,Aug,Weekend,11,27482.583260157
Solar_C1_Total,Agliè,Aug,Weekend,12,29273.082088495998
Solar_C1_Total,Agliè,Aug,Weekend,13,28468.225650444
Solar_C1_Total,Agliè,Aug,Weekend,14,25464.817989167
Solar_C1_Total,Agliè,Aug,Weekend,15,23757.986636581005
Solar_C1_Total,Agliè,Aug,Weekend,16,18661.440665212
Solar_C1_Total,Agliè,Aug,Weekend,17,13302.370930124
Solar_C1_Total,Agliè,Aug,Weekend,18,8434.985023367
Solar_C1_Total,Agliè,Aug,Weekend,19,2379.0359946480007
Solar_C1_Total,Agliè,Aug,Weekend,20,0
Solar_C1_Total,Agliè,Aug,Weekend,21,0
Solar_C1_Total,Agliè,Aug,Weekend,22,0
Solar_C1_Total,Agliè,Aug,Weekend,23,0
Solar_C1_Total,Agliè,Aug,Weekend,24,0
Solar_C1_Total,Agliè,Sep,Weekday,1,0
Solar_C1_Total,Agliè,Sep,Weekday,2,0
Solar_C1_Total,Agliè,Sep,Weekday,3,0
